names,Politicians,Gender
Bill Sammon,Rick Scott,Male
Nicole Hemmer,Jen Psaki,Female
Jane Mayer,James Madison,Male
Sean Hannity,Ron Ziegler,Male
Howard Schultz,Robert Mugabe,Male
Michelle Obama,Ari Fleischer,Male
Chris Wallace,Marlin Fitzwater,Male
John Delaney,Gregg Harper,Male
Emmanuel Macron,Walter Reuther,Male
Du Nord,Cecile Richard,Male
Roger Aile,Peter Kalikow,Male
Colin Kaepernick,George Stephanopolous,Male
Kareem Abduljabbar,Ralph Northam,Male
Michael Jordan,Christopher Columbus,Male
Lebron James,Theodore Roosevelt,Male
Jonathan Liew,Frank Rizzo,Male
Harry Potter,Andrew Jackson,Male
Jk Rowling,Joseph Goebbels,Male
Dwight Eisenhower,Jeh Johnson,Male
Carryn Owens,Gabrielle Gifford,Female
Noor Zahi,Hilary Clinton,Female
Omar Mateen,Sonia Sotomayor,Female
Buddy Dyer,John Lewis,Male
Matthew Gentili,Audrey Strauss,Female
Sara Brady,John Bel,Male
Sitora Yusufiy,Matt Gaetz,Male
Chadwick Smith,Bobby Jindal,Male
Jennifer Rubin,Scott Morrison,Male
Ramesh Ponnuru,Jay Inslee,Male
Jordan Peterson,Ron Desantis,Male
Carl Benjamin,Tim Walz,Male
Jess Phillips,Diane Feinstein,Female
Dave Rubin,Kenneth Starr,Male
James Altucher,Gonzalo Curiel,Male
Jocko Willink,Eric Schneiderman,Male
Michael Shermer,John Conyers,Male
Liu Xiaoming,Mary Gonzalez,Female
Cathy Lam,James Woolsey,Male
Lawrence Kaki,James Robart,Male
Kristian Gleditsch,Andy Burnham,Male
Greisa MartÃÂÃÂ­nez,Ian Blair,Male
William Alsup,Vanita Gupta,Female
Marielena Hincapie,Keisha Lance,Female
Joanna Walter,Josephus Daniels,Male
Frank Sharry,Gabby Gifford,Female
Christopher Steele,Edward Kennedy,Male
Rod Rosenstein,Ron Johnson,Male
Paul Ashworth,Andrew Gillum,Male
Filippo Grandi,Amy Berman,Female
Bahram Qasemi,Hubert Humphrey,Male
Majid Takhtravanchi,Gretchen Whitmer,Female
Haider Alabadi,Catherine Cortez,Female
Mohame Abdullahi,Michelle Lujan,Female
Emily Thornberry,Viktor Yanukovych,Male
Malcolm Turnbull,Dilma Rousseff,Female
Pew Polltheir,Luis Gutierrez,Male
Gallup Pollmore,Nydia Velazquez,Female
Heather Cox,Arvind Kejriwal,Male
John Adams,Andy Jorgensen,Male
Richard Mccormick,Robin Vos,Male
Michael Mcgerr,Jenny Durkan,Female
Uncle Sam,Mohammad Mossadegh,Male
Bruce Newman,Mark Pocan,Male
Hans Noel,Charlie Crist,Male
Russell Muirhead,Nikol Pashinyan,Male
Aye Matey,Tayyip Erdogan,Male
Selfisolate Selfemploye,Michele Bachelet,Female
Rishi Sunak,Rodney Frelinghuysen,Male
Jose Antonio,Barbara Comstock,Female
Elena Rodriguez,Steny Hoyer,Male
Lonnie Swartz,Kyrsten Sinema,Female
Francisco Javier,Kelli Ward,Female
Dominguez Rivera,Felecia Rotellini,Female
Valeria Munique,Doug Ducey,Male
Tachiquin Alvarado,Jamie Raskin,Male
Justin Tackett,Steven Choi,Male
Annabell Gomez,Kris Kobach,Male
Julian Ramirez,Kate Brown,Female
Daniel Bassinger,Dana Christensen,Male
Scott Hughes,Tom Tugendhat,Male
Michael Fisher,Alistair Burt,Male
Luis Arambula,Henry Kissinger,Male
Jesus Romo,Bob Menendez,Male
Juan Mendez,Fahrettin Altun,Male
Gerardo Lozano,Neal Katyal,Male
Carlos Lamadrid,Mike Dewine,Male
Alex Martinez,Stephen Bannon,Male
Steven Martin,Aaron Burr,Male
Toma Orzuna,Christine Todd,Female
Rio Grande,Jo Swinson,Female
Anastacio Hernandezrojas,Valery Gerasimov,Male
Darius Smith,Mark Esper,Male
Bassim Chmait,Uhuru Kenyatta,Male
Adam Thomas,Siad Barre,Male
David Sirota,Ashish Jha,Male
Branko Marketic,Karen Hughes,Female
Anthony Fauci,Michael Morrell,Male
Shruta Neytra,David Perdue,Male
Colonialera Law,Charles Schumer,Male
Anjali Siroya,Steve Daines,Male
Bikas Dasap,Jacky Rosen,Female
Amy Klobuchar,Dean Heller,Male
Moine Registerendorse,Qamar Javed,Male
Bhaskar Sunkara,Shahid Khaqan,Male
Alex Whiting,Hamdullah Mohib,Male
Jerome Corsi,Mike Espy,Male
Roger Stone,Thad Cochran,Male
Renato Mariotti,Chris Mcdaniel,Male
Soninlaw Jared,Ryan Zinke,Male
Barb Mcquade,Tammy Duckworth,Female
